what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661415948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661686262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516661686273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661688385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661846837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661850119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661852427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661858903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661863365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516661868461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662164409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662167908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662213259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1516662213274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662221152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662234425
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516662234624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516662234702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662238243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662240065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1516662244727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1516662254063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662256283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662526162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662530982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662536130
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1516662543632
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1516662543745
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1516662544198
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1516662544307
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1516662544565
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1516662544753
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1516662545218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662571019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662573963
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1516662575235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662594510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662642925
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516662649992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662658444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662676177
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516662676255
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516662676333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1516662689487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516662693008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663253185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663262805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663281181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663282310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663283430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663342625
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663364731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516663379106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516663383390
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1516663459570
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1516663461347
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516663462961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663493270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663498514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663611103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663613124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663682414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663705425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663778729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663781039
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516663881214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663887486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516663928756
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516663928834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516663928912
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516664637680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664684773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664690163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664755542
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664762198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664785587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664789476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664816926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664820799
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516664829118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664846270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664870380
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516664875828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664879307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664883884
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1516664909728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664913552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664918635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516664928681
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664930541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1516664933927
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664937343
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664938536
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664938536
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1516664943090
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664943090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664948822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516664973582
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664973692
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1516664973739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1516665072926
